;RunId;iteration;Step;largura;altura;density;rule;alive_cells;dead_cells;average_rule;likeness;len_rule;len_born;len_survive
0;0;0;350;50;50;0.5;B2/S34;0.3228;0.6772;1.75;0.6204;-1;1;2
1;1;0;350;50;50;0.5;B3/S23;0.10240000000000005;0.8976;0.8333333333333334;0.9968;-1;1;2
2;2;0;350;50;50;0.5;B6/S16;0.474;0.526;0.5833333333333334;1.0;-1;1;2
3;3;0;350;50;50;0.5;B36/S23;0.03080000000000005;0.9692;0.5555555555555556;0.9952;0;2;2
4;4;0;350;50;50;0.5;B1357/S1357;0.49639999999999995;0.5036;1.0;0.5064;0;4;4
5;5;0;350;50;50;0.5;B34/S34;0.41600000000000004;0.584;1.0;0.5628;0;2;2
6;6;0;350;50;50;0.5;B15/S28;0.2804;0.7196;1.6666666666666667;0.5916;0;2;2
7;7;0;350;50;50;0.5;B1/S1;0.20640000000000003;0.7936;1.0;0.6076;0;1;1
8;8;0;350;50;50;0.5;B12/S12;0.3248;0.6752;1.0;0.5108;0;2;2
9;9;0;350;50;50;0.5;B45/S12;0.2764;0.7236;0.3333333333333333;0.996;0;2;2
10;10;0;350;50;50;0.5;B872/S356;0.28080000000000005;0.7192;0.8235294117647058;0.6016;0;3;3
11;11;0;350;50;50;0.5;B6731/S1234;0.5116;0.4884;0.5882352941176471;0.5592;0;4;4
12;12;0;350;50;50;0.5;B58912/S34;0.47240000000000004;0.5276;0.7;0.5356;3;5;2
13;13;0;350;50;50;0.5;B6213/S912;0.39080000000000004;0.6092;1.3333333333333333;0.2976;1;4;3
14;14;0;350;50;50;0.5;B91/S82;0.25439999999999996;0.7456;1.0;0.6236;0;2;2
15;15;0;350;50;50;0.5;B73/S65;0.27680000000000005;0.7232;1.1;1.0;0;2;2
16;16;0;350;50;50;0.5;B51238/S38;0.46519999999999995;0.5348;1.4473684210526316;0.2516;3;5;2
17;17;0;350;50;50;0.5;B86/S124659;0.5436000000000001;0.4564;0.6428571428571429;1.0;-4;2;6
18;18;0;350;50;50;0.5;B87/S87542;0.5076;0.4924;0.6933333333333334;1.0;-3;2;5
19;19;0;350;50;50;0.5;B234/S1235;0.5167999999999999;0.4832;0.9166666666666666;0.49;-1;3;4
20;20;0;350;50;50;0.5;B1357/S2468;0.5004;0.4996;1.25;0.4872;0;4;4
21;21;0;350;50;50;0.5;B123456789/S123456789;1.0;0.0;1.0;1.0;0;9;9
22;22;0;350;50;50;0.5;B12345/S76532;0.74;0.26;1.5333333333333332;0.8556;0;5;5
23;23;0;350;50;50;0.5;B1/S1233456789;0.998;0.002;4.8;1.0;-9;1;10
24;24;0;350;50;50;0.5;B123456789/S1;0.4676;0.5324;0.2;0.0024;8;9;1
25;25;0;350;50;50;0.5;B8735/S2;0.13;0.87;0.34782608695652173;0.9972;3;4;1
26;26;0;350;50;50;0.5;B1235/23;0.45840000000000003;0.5416;0.9090909090909091;0.3208;2;4;2
27;27;0;350;50;50;0.5;B123847/S2;0.5760000000000001;0.424;0.48;0.0176;5;6;1
28;28;0;350;50;50;0.5;B983/S314678;0.3728;0.6272;0.725;0.7492;-3;3;6
29;29;1;350;50;50;0.5;B2/S34;0.3236;0.6764;1.75;0.636;-1;1;2
30;30;1;350;50;50;0.5;B3/S23;0.08999999999999997;0.91;0.8333333333333334;0.9808;-1;1;2
31;31;1;350;50;50;0.5;B6/S16;0.46719999999999995;0.5328;0.5833333333333334;1.0;-1;1;2
32;32;1;350;50;50;0.5;B36/S23;0.04520000000000002;0.9548;0.5555555555555556;0.978;0;2;2
