;RunId;iteration;Step;largura;altura;density;rule;alive_cells;dead_cells;average_rule;likeness;len_rule;len_born;len_survive
0;0;0;500;50;50;0.5;B2/S34;0.3052;0.6948;1.75;0.636;-1;1;2
1;1;0;500;50;50;0.5;B3/S23;0.0264;0.96;0.8333333333333334;0.992;-1;1;2
2;2;0;500;50;50;0.5;B6/S16;0.0192;0.5424;0.5833333333333334;1.0;-1;1;2
3;3;0;500;50;50;0.5;B36/S23;0.0256;0.966;0.5555555555555556;0.992;0;2;2
4;4;0;500;50;50;0.5;B1357/S1357;0.5084;0.4916;1.0;0.4812;0;4;4
5;5;0;500;50;50;0.5;B34/S34;0.39;0.6096;1.0;0.5444;0;2;2
6;6;0;500;50;50;0.5;B15/S28;0.2828;0.7172;1.6666666666666667;0.6004;0;2;2
7;7;0;500;50;50;0.5;B1/S1;0.242;0.758;1.0;0.618;0;1;1
8;8;0;500;50;50;0.5;B12/S12;0.3284;0.6716;1.0;0.5324;0;2;2
9;9;0;500;50;50;0.5;B45/S12;0.0992;0.6788;0.3333333333333333;0.9944;0;2;2
10;10;0;500;50;50;0.5;B872/S356;0.2816;0.7184;0.8235294117647058;0.5952;0;3;3
11;11;0;500;50;50;0.5;B6731/S1234;0.5376;0.4624;0.5882352941176471;0.5992;0;4;4
12;12;0;500;50;50;0.5;B58912/S34;0.4368;0.5632;0.7;0.5328;3;5;2
13;13;0;500;50;50;0.5;B6213/S912;0.4384;0.5616;1.3333333333333333;0.302;1;4;3
14;14;0;500;50;50;0.5;B91/S82;0.2876;0.7124;1.0;0.608;0;2;2
15;15;0;500;50;50;0.5;B73/S65;0.0;0.744;1.1;1.0;0;2;2
16;16;0;500;50;50;0.5;B51238/S38;0.4076;0.5924;1.4473684210526316;0.2536;3;5;2
17;17;0;500;50;50;0.5;B86/S124659;0.1192;0.4484;0.6428571428571429;1.0;-4;2;6
18;18;0;500;50;50;0.5;B87/S87542;0.0132;0.4944;0.6933333333333334;1.0;-3;2;5
19;19;0;500;50;50;0.5;B234/S1235;0.504;0.496;0.9166666666666666;0.4672;-1;3;4
20;20;0;500;50;50;0.5;B1357/S2468;0.4908;0.5092;1.25;0.4852;0;4;4
21;21;0;500;50;50;0.5;B123456789/S123456789;1.0;0.0;1.0;1.0;0;9;9
22;22;0;500;50;50;0.5;B12345/S76532;0.7392;0.2608;1.5333333333333332;0.8336;0;5;5
