,RunId,iteration,Step,largura,altura,density,rule,alive_cells,dead_cells,average_rule,likeness,len_rule,len_born,len_survive
0,0,0,350,50,50,0.5,B394/S496,0.028800000000000048,0.9712,1.1875,0.9904,0,3,3
1,1,0,350,50,50,0.5,B5/S82,0.38480000000000003,0.6152,1.0,1.0,1,1,2
2,2,0,350,50,50,0.5,B6231498/S65,0.5327999999999999,0.4672,1.1666666666666667,0.3876,5,7,2
3,3,0,350,50,50,0.5,B52984736/S2536981,0.722,0.278,0.8831168831168831,0.4776,1,8,7
4,4,0,350,50,50,0.5,B62734985/S6,0.49160000000000004,0.5084,1.0909090909090908,0.0,7,8,1
5,5,0,350,50,50,0.5,B62157894/S423985167,1.0,0.0,0.9523809523809523,1.0,1,8,9
6,6,0,350,50,50,0.5,B1289/S895236714,0.9976,0.0024,1.0,1.0,5,4,9
7,7,0,350,50,50,0.5,B8715629/S439,0.4788,0.5212,0.9824561403508771,0.4576,4,7,3
8,8,0,350,50,50,0.5,B598162743/S876,0.502,0.498,1.4,0.0,6,9,3
9,9,0,350,50,50,0.5,B713258649/S72316,0.6639999999999999,0.336,0.76,0.3392,4,9,5
10,10,0,350,50,50,0.5,B76428351/S2819453,0.6892,0.3108,1.0158730158730158,0.4296,1,8,7
11,11,0,350,50,50,0.5,B17382/S42957168,0.9268,0.0732,1.25,0.9936,3,5,8
12,12,0,350,50,50,0.5,B69/S734,0.4476,0.5524,0.6222222222222222,1.0,1,2,3
13,13,0,350,50,50,0.5,B5/S138257,0.534,0.466,0.8666666666666666,0.9984,5,1,6
14,14,0,350,50,50,0.5,B5/S987312,0.5596,0.4404,1.0,0.9968,5,1,6
15,15,0,350,50,50,0.5,B849/S5479213,0.7484,0.2516,0.6326530612244898,0.9988,4,3,7
16,16,0,350,50,50,0.5,B162539874/S6793,0.6588,0.3412,1.25,0.3056,5,9,4
17,17,0,350,50,50,0.5,B649/S712946538,0.9988,0.0012,0.7894736842105263,1.0,6,3,9
18,18,0,350,50,50,0.5,B41/S61,0.31120000000000003,0.6888,1.4,0.5216,0,2,2
19,19,0,350,50,50,0.5,B1578396/S41,0.46440000000000003,0.5356,0.44871794871794873,0.376,5,7,2
20,20,0,350,50,50,0.5,B84723516/S1267,0.6032,0.3968,0.8888888888888888,0.1848,4,8,4
21,21,0,350,50,50,0.5,B371/S53,0.4024,0.5976,1.090909090909091,0.4868,1,3,2
22,22,0,350,50,50,0.5,B152648/S17362589,0.9628,0.0372,1.1826923076923077,0.9608,2,6,8
23,23,0,350,50,50,0.5,B46/S2,0.29079999999999995,0.7092,0.4,1.0,1,2,1
24,24,0,350,50,50,0.5,B3218/S428576193,0.9984,0.0016,1.4285714285714286,1.0,5,4,9
25,25,0,350,50,50,0.5,B16892543/S54963728,0.9988,0.0012,1.1578947368421053,1.0,0,8,8
26,26,0,350,50,50,0.5,B5924/S5,0.35760000000000003,0.6424,1.0,0.3076,3,4,1
27,27,0,350,50,50,0.5,B1385297/S76812539,0.9448,0.0552,1.025,0.9568,1,7,8
28,28,0,350,50,50,0.5,B16345279/S743812,0.7103999999999999,0.2896,0.9009009009009009,0.4024,2,8,6
29,29,0,350,50,50,0.5,B946253718/S6,0.4952,0.5048,1.2,0.0,8,9,1
30,30,0,350,50,50,0.5,B64237185/S819437,0.6476,0.3524,1.1851851851851851,0.2972,2,8,6
31,31,0,350,50,50,0.5,B693174852/S189743562,1.0,0.0,1.0,1.0,0,9,9
32,32,0,350,50,50,0.5,B2/S8745,0.23719999999999997,0.7628,3.0,0.572,3,1,4
33,33,0,350,50,50,0.5,B91732/S76385,0.886,0.114,1.3181818181818181,0.9804,0,5,5
34,34,0,350,50,50,0.5,B625918437/S695,0.5756,0.4244,1.3333333333333335,0.1496,6,9,3
35,35,0,350,50,50,0.5,B45291/S916,0.42079999999999995,0.5792,1.2698412698412698,0.2688,2,5,3
36,36,0,350,50,50,0.5,B385769/S47189652,0.9944,0.0056,0.8289473684210527,0.9984,2,6,8
37,37,0,350,50,50,0.5,B26318957/S9684721,0.9456,0.0544,1.0313588850174216,0.9256,1,8,7
38,38,0,350,50,50,0.5,B7638/S753498,0.64,0.36,1.0,0.6492,2,4,6
39,39,0,350,50,50,0.5,B6382419/S7392,0.5628,0.4372,1.1136363636363635,0.2788,3,7,4
40,40,0,350,50,50,0.5,B5613/S5693247,0.8688,0.1312,1.3714285714285714,0.9784,3,4,7
41,41,0,350,50,50,0.5,B735184962/S61,0.4992,0.5008,0.7,0.0008,7,9,2
42,42,0,350,50,50,0.5,B96/S394,0.46319999999999995,0.5368,0.711111111111111,1.0,1,2,3
43,43,0,350,50,50,0.5,B83524/S37,0.514,0.486,1.1363636363636362,0.248,3,5,2
44,44,0,350,50,50,0.5,B13659/S768,0.3388,0.6612,1.4583333333333335,0.324,2,5,3
45,45,0,350,50,50,0.5,B36492/S7542683,0.9876,0.0124,1.0416666666666667,1.0,2,5,7
46,46,0,350,50,50,0.5,B94561/S27846513,0.9996,0.0004,0.9,1.0,3,5,8
47,47,0,350,50,50,0.5,B54/S68371,0.20920000000000005,0.7908,1.1111111111111112,1.0,3,2,5
48,48,0,350,50,50,0.5,B7/S21748639,0.8456,0.1544,0.7142857142857143,1.0,7,1,8
49,49,0,350,50,50,0.5,B29134/S4529187,0.604,0.396,1.3533834586466167,0.5768,2,5,7
