;RunId;iteration;Step;largura;altura;density;rule;alive_cells;dead_cells;average_rule;likeness;len_rule;len_born;len_survive
0;0;0;350;50;50;0.5;B58764/S23;0.14759999999999995;0.8524;0.4166666666666667;0.9988;3;5;2
1;1;0;350;50;50;0.5;B897531/S1;0.36839999999999995;0.6316;0.18181818181818182;0.3836;5;6;1
2;2;1;350;50;50;0.5;B58764/S23;0.1068;0.8932;0.4166666666666667;0.9992;3;5;2
3;3;1;350;50;50;0.5;B897531/S1;0.3488;0.6512;0.18181818181818182;0.3592;5;6;1
4;4;2;350;50;50;0.5;B58764/S23;0.14;0.86;0.4166666666666667;0.9956;3;5;2
5;5;2;350;50;50;0.5;B897531/S1;0.34319999999999995;0.6568;0.18181818181818182;0.3788;5;6;1
