;RunId;iteration;Step;largura;altura;density;rule;alive_cells;dead_cells;average_rule;likeness
0;0;0;500;50;50;0.5;B2/S34;0.316;0.684;1.75;0.6672
1;1;0;500;50;50;0.5;B3/S23;0.0388;0.9448;0.8333333333333334;0.9904
2;2;0;500;50;50;0.5;B6/S16;0.02;0.5472;0.5833333333333334;1.0
3;3;0;500;50;50;0.5;B36/S23;0.0236;0.9684;0.5555555555555556;0.9968
4;4;0;500;50;50;0.5;B1357/S1357;0.4984;0.5016;1.0;0.516
5;5;0;500;50;50;0.5;B34/S34;0.3964;0.6036;1.0;0.5372
6;6;0;500;50;50;0.5;B15/S28;0.2904;0.7096;1.6666666666666667;0.6044
7;7;0;500;50;50;0.5;B1/S1;0.2284;0.7716;1.0;0.6248
8;8;0;500;50;50;0.5;B12/S12;0.354;0.646;1.0;0.4948
9;9;0;500;50;50;0.5;B45/S12;0.108;0.6856;0.3333333333333333;0.9912
10;10;0;500;50;50;0.5;B872/S356;0.2972;0.7028;0.8235294117647058;0.5828
11;11;0;500;50;50;0.5;B6731/S1234;0.5376;0.4624;0.5882352941176471;0.6192
12;12;0;500;50;50;0.5;B58912/S34;0.444;0.556;0.7;0.5352
13;13;0;500;50;50;0.5;B6213/S912;0.4056;0.5944;1.3333333333333333;0.32
14;14;0;500;50;50;0.5;B91/S82;0.2604;0.7396;1.0;0.6372
15;15;0;500;50;50;0.5;B73/S65;0.0;0.7096;1.1;1.0
16;16;1;500;50;50;0.5;B2/S34;0.3096;0.6904;1.75;0.632
17;17;1;500;50;50;0.5;B3/S23;0.0752;0.8992;0.8333333333333334;0.9688
18;18;1;500;50;50;0.5;B6/S16;0.0176;0.5316;0.5833333333333334;1.0
19;19;1;500;50;50;0.5;B36/S23;0.052;0.9408;0.5555555555555556;0.9648
20;20;1;500;50;50;0.5;B1357/S1357;0.498;0.502;1.0;0.5052
21;21;1;500;50;50;0.5;B34/S34;0.3996;0.6004;1.0;0.5748
22;22;1;500;50;50;0.5;B15/S28;0.2748;0.7252;1.6666666666666667;0.6092
23;23;1;500;50;50;0.5;B1/S1;0.23;0.77;1.0;0.6196
24;24;1;500;50;50;0.5;B12/S12;0.3388;0.6612;1.0;0.4872
25;25;1;500;50;50;0.5;B45/S12;0.0836;0.7472;0.3333333333333333;0.9984
26;26;1;500;50;50;0.5;B872/S356;0.2932;0.7068;0.8235294117647058;0.59
27;27;1;500;50;50;0.5;B6731/S1234;0.528;0.472;0.5882352941176471;0.6116
28;28;1;500;50;50;0.5;B58912/S34;0.4488;0.5512;0.7;0.5472
29;29;1;500;50;50;0.5;B6213/S912;0.4488;0.5512;1.3333333333333333;0.3016
30;30;1;500;50;50;0.5;B91/S82;0.2604;0.7396;1.0;0.6272
31;31;1;500;50;50;0.5;B73/S65;0.0;0.7408;1.1;1.0
32;32;2;500;50;50;0.5;B2/S34;0.2956;0.7044;1.75;0.6644
33;33;2;500;50;50;0.5;B3/S23;0.0272;0.9412;0.8333333333333334;0.9936
34;34;2;500;50;50;0.5;B6/S16;0.0232;0.538;0.5833333333333334;1.0
35;35;2;500;50;50;0.5;B36/S23;0.02;0.9668;0.5555555555555556;0.9968
36;36;2;500;50;50;0.5;B1357/S1357;0.5032;0.4968;1.0;0.4992
37;37;2;500;50;50;0.5;B34/S34;0.4224;0.5772;1.0;0.5592
38;38;2;500;50;50;0.5;B15/S28;0.28;0.72;1.6666666666666667;0.6096
39;39;2;500;50;50;0.5;B1/S1;0.2304;0.7696;1.0;0.6248
40;40;2;500;50;50;0.5;B12/S12;0.3456;0.6544;1.0;0.5132
41;41;2;500;50;50;0.5;B45/S12;0.1028;0.6992;0.3333333333333333;0.9952
42;42;2;500;50;50;0.5;B872/S356;0.2856;0.7144;0.8235294117647058;0.6004
43;43;2;500;50;50;0.5;B6731/S1234;0.5332;0.4668;0.5882352941176471;0.5908
44;44;2;500;50;50;0.5;B58912/S34;0.4484;0.5516;0.7;0.5264
45;45;2;500;50;50;0.5;B6213/S912;0.404;0.596;1.3333333333333333;0.2804
46;46;2;500;50;50;0.5;B91/S82;0.2856;0.7144;1.0;0.6128
47;47;2;500;50;50;0.5;B73/S65;0.0;0.744;1.1;1.0
48;48;3;500;50;50;0.5;B2/S34;0.3076;0.6924;1.75;0.6532
49;49;3;500;50;50;0.5;B3/S23;0.0256;0.964;0.8333333333333334;0.992
50;50;3;500;50;50;0.5;B6/S16;0.0208;0.5264;0.5833333333333334;1.0
51;51;3;500;50;50;0.5;B36/S23;0.0264;0.9644;0.5555555555555556;0.9952
52;52;3;500;50;50;0.5;B1357/S1357;0.5072;0.4928;1.0;0.496
53;53;3;500;50;50;0.5;B34/S34;0.4004;0.5996;1.0;0.5496
54;54;3;500;50;50;0.5;B15/S28;0.288;0.712;1.6666666666666667;0.5884
55;55;3;500;50;50;0.5;B1/S1;0.232;0.768;1.0;0.6188
56;56;3;500;50;50;0.5;B12/S12;0.354;0.646;1.0;0.5332
57;57;3;500;50;50;0.5;B45/S12;0.0996;0.7184;0.3333333333333333;0.9944
58;58;3;500;50;50;0.5;B872/S356;0.2832;0.7168;0.8235294117647058;0.6024
59;59;3;500;50;50;0.5;B6731/S1234;0.522;0.478;0.5882352941176471;0.6156
60;60;3;500;50;50;0.5;B58912/S34;0.4484;0.5516;0.7;0.5496
61;61;3;500;50;50;0.5;B6213/S912;0.408;0.592;1.3333333333333333;0.2876
62;62;3;500;50;50;0.5;B91/S82;0.2724;0.7276;1.0;0.6052
63;63;3;500;50;50;0.5;B73/S65;0.0;0.748;1.1;1.0
64;64;4;500;50;50;0.5;B2/S34;0.3128;0.6872;1.75;0.6412
65;65;4;500;50;50;0.5;B3/S23;0.074;0.9044;0.8333333333333334;0.9504
66;66;4;500;50;50;0.5;B6/S16;0.02;0.4988;0.5833333333333334;1.0
67;67;4;500;50;50;0.5;B36/S23;0.0304;0.952;0.5555555555555556;0.9868
68;68;4;500;50;50;0.5;B1357/S1357;0.502;0.498;1.0;0.5048
69;69;4;500;50;50;0.5;B34/S34;0.434;0.5656;1.0;0.5772
70;70;4;500;50;50;0.5;B15/S28;0.2976;0.7024;1.6666666666666667;0.59
71;71;4;500;50;50;0.5;B1/S1;0.2316;0.7684;1.0;0.6292
72;72;4;500;50;50;0.5;B12/S12;0.3316;0.6684;1.0;0.4984
73;73;4;500;50;50;0.5;B45/S12;0.092;0.726;0.3333333333333333;0.9952
74;74;4;500;50;50;0.5;B872/S356;0.2872;0.7128;0.8235294117647058;0.588
75;75;4;500;50;50;0.5;B6731/S1234;0.534;0.466;0.5882352941176471;0.6024
76;76;4;500;50;50;0.5;B58912/S34;0.4392;0.5608;0.7;0.5456
77;77;4;500;50;50;0.5;B6213/S912;0.396;0.604;1.3333333333333333;0.2748
78;78;4;500;50;50;0.5;B91/S82;0.2612;0.7388;1.0;0.5996
79;79;4;500;50;50;0.5;B73/S65;0.0;0.7504;1.1;1.0
80;80;5;500;50;50;0.5;B2/S34;0.3344;0.6656;1.75;0.6492
81;81;5;500;50;50;0.5;B3/S23;0.0432;0.9356;0.8333333333333334;0.984
82;82;5;500;50;50;0.5;B6/S16;0.0192;0.5408;0.5833333333333334;1.0
83;83;5;500;50;50;0.5;B36/S23;0.02;0.98;0.5555555555555556;0.9908
84;84;5;500;50;50;0.5;B1357/S1357;0.488;0.512;1.0;0.5104
85;85;5;500;50;50;0.5;B34/S34;0.3844;0.6148;1.0;0.5764
86;86;5;500;50;50;0.5;B15/S28;0.2812;0.7188;1.6666666666666667;0.5964
87;87;5;500;50;50;0.5;B1/S1;0.2152;0.7848;1.0;0.626
88;88;5;500;50;50;0.5;B12/S12;0.3716;0.6284;1.0;0.5208
89;89;5;500;50;50;0.5;B45/S12;0.094;0.688;0.3333333333333333;0.9976
90;90;5;500;50;50;0.5;B872/S356;0.2736;0.7264;0.8235294117647058;0.606
91;91;5;500;50;50;0.5;B6731/S1234;0.546;0.454;0.5882352941176471;0.5864
92;92;5;500;50;50;0.5;B58912/S34;0.4492;0.5508;0.7;0.542
93;93;5;500;50;50;0.5;B6213/S912;0.4464;0.5536;1.3333333333333333;0.3004
94;94;5;500;50;50;0.5;B91/S82;0.2596;0.7404;1.0;0.6316
95;95;5;500;50;50;0.5;B73/S65;0.0;0.7396;1.1;1.0
96;96;6;500;50;50;0.5;B2/S34;0.3164;0.6836;1.75;0.6596
97;97;6;500;50;50;0.5;B3/S23;0.0268;0.9416;0.8333333333333334;0.9888
98;98;6;500;50;50;0.5;B6/S16;0.0208;0.5416;0.5833333333333334;1.0
99;99;6;500;50;50;0.5;B36/S23;0.0192;0.9708;0.5555555555555556;0.9984
100;100;6;500;50;50;0.5;B1357/S1357;0.4856;0.5144;1.0;0.5032
101;101;6;500;50;50;0.5;B34/S34;0.416;0.5836;1.0;0.5416
102;102;6;500;50;50;0.5;B15/S28;0.2912;0.7088;1.6666666666666667;0.5664
103;103;6;500;50;50;0.5;B1/S1;0.2552;0.7448;1.0;0.636
104;104;6;500;50;50;0.5;B12/S12;0.3436;0.6564;1.0;0.5096
105;105;6;500;50;50;0.5;B45/S12;0.1024;0.6924;0.3333333333333333;0.996
106;106;6;500;50;50;0.5;B872/S356;0.3072;0.6928;0.8235294117647058;0.592
107;107;6;500;50;50;0.5;B6731/S1234;0.5324;0.4676;0.5882352941176471;0.6028
108;108;6;500;50;50;0.5;B58912/S34;0.45;0.55;0.7;0.538
109;109;6;500;50;50;0.5;B6213/S912;0.3984;0.6016;1.3333333333333333;0.3056
110;110;6;500;50;50;0.5;B91/S82;0.2704;0.7296;1.0;0.6164
111;111;6;500;50;50;0.5;B73/S65;0.0;0.7148;1.1;1.0
112;112;7;500;50;50;0.5;B2/S34;0.3136;0.6864;1.75;0.6488
113;113;7;500;50;50;0.5;B3/S23;0.0272;0.9488;0.8333333333333334;0.984
114;114;7;500;50;50;0.5;B6/S16;0.0184;0.5248;0.5833333333333334;1.0
115;115;7;500;50;50;0.5;B36/S23;0.0208;0.9728;0.5555555555555556;0.9984
116;116;7;500;50;50;0.5;B1357/S1357;0.4984;0.5016;1.0;0.4968
117;117;7;500;50;50;0.5;B34/S34;0.4096;0.5904;1.0;0.5628
118;118;7;500;50;50;0.5;B15/S28;0.264;0.736;1.6666666666666667;0.59
119;119;7;500;50;50;0.5;B1/S1;0.238;0.762;1.0;0.6288
120;120;7;500;50;50;0.5;B12/S12;0.3508;0.6492;1.0;0.5164
121;121;7;500;50;50;0.5;B45/S12;0.0904;0.7212;0.3333333333333333;0.9976
122;122;7;500;50;50;0.5;B872/S356;0.3012;0.6988;0.8235294117647058;0.5652
123;123;7;500;50;50;0.5;B6731/S1234;0.5404;0.4596;0.5882352941176471;0.5984
124;124;7;500;50;50;0.5;B58912/S34;0.45;0.55;0.7;0.5284
125;125;7;500;50;50;0.5;B6213/S912;0.422;0.578;1.3333333333333333;0.3056
126;126;7;500;50;50;0.5;B91/S82;0.2692;0.7308;1.0;0.6072
127;127;7;500;50;50;0.5;B73/S65;0.0;0.7112;1.1;1.0
128;128;8;500;50;50;0.5;B2/S34;0.324;0.676;1.75;0.6268
129;129;8;500;50;50;0.5;B3/S23;0.0336;0.918;0.8333333333333334;0.9952
