;RunId;iteration;Step;largura;altura;density;rule;alive_cells;dead_cells;average_rule;likeness;len_rule;len_born;len_survive
0;0;0;500;50;50;0.5;B2/S34;0.322;0.678;1.75;0.6404;-1;1;2
1;1;0;500;50;50;0.5;B3/S23;0.0532;0.9336;0.8333333333333334;0.9824;-1;1;2
2;2;0;500;50;50;0.5;B6/S16;0.0208;0.5172;0.5833333333333334;1.0;-1;1;2
3;3;0;500;50;50;0.5;B36/S23;0.0552;0.9388;0.5555555555555556;0.9624;0;2;2
4;4;0;500;50;50;0.5;B1357/S1357;0.4984;0.5016;1.0;0.4936;0;4;4
5;5;0;500;50;50;0.5;B34/S34;0.3884;0.6116;1.0;0.5628;0;2;2
6;6;0;500;50;50;0.5;B15/S28;0.2792;0.7208;1.6666666666666667;0.6104;0;2;2
7;7;0;500;50;50;0.5;B1/S1;0.2252;0.7748;1.0;0.6316;0;1;1
8;8;0;500;50;50;0.5;B12/S12;0.3456;0.6544;1.0;0.5044;0;2;2
9;9;0;500;50;50;0.5;B45/S12;0.0916;0.71;0.3333333333333333;0.9952;0;2;2
10;10;0;500;50;50;0.5;B872/S356;0.3088;0.6912;0.8235294117647058;0.5788;0;3;3
11;11;0;500;50;50;0.5;B6731/S1234;0.5344;0.4656;0.5882352941176471;0.6044;0;4;4
12;12;0;500;50;50;0.5;B58912/S34;0.454;0.546;0.7;0.5468;3;5;2
13;13;0;500;50;50;0.5;B6213/S912;0.3872;0.6128;1.3333333333333333;0.2964;1;4;3
14;14;0;500;50;50;0.5;B91/S82;0.2572;0.7428;1.0;0.624;0;2;2
15;15;0;500;50;50;0.5;B73/S65;0.0;0.7404;1.1;1.0;0;2;2
16;16;0;500;50;50;0.5;B51238/S38;0.434;0.566;1.4473684210526316;0.2524;3;5;2
17;17;0;500;50;50;0.5;B86/S124659;0.128;0.4604;0.6428571428571429;1.0;-4;2;6
18;18;0;500;50;50;0.5;B87/S87542;0.0224;0.4772;0.6933333333333334;1.0;-3;2;5
19;19;0;500;50;50;0.5;B234/S1235;0.5028;0.4972;0.9166666666666666;0.4804;-1;3;4
20;20;0;500;50;50;0.5;B1357/S2468;0.5052;0.4948;1.25;0.4988;0;4;4
21;21;1;500;50;50;0.5;B2/S34;0.314;0.686;1.75;0.6456;-1;1;2
22;22;1;500;50;50;0.5;B3/S23;0.0864;0.9072;0.8333333333333334;0.9636;-1;1;2
23;23;1;500;50;50;0.5;B6/S16;0.0208;0.5412;0.5833333333333334;1.0;-1;1;2
24;24;1;500;50;50;0.5;B36/S23;0.0424;0.9512;0.5555555555555556;0.9816;0;2;2
25;25;1;500;50;50;0.5;B1357/S1357;0.5156;0.4844;1.0;0.4904;0;4;4
26;26;1;500;50;50;0.5;B34/S34;0.4016;0.5984;1.0;0.5732;0;2;2
