;RunId;iteration;Step;largura;altura;density;rule;alive_cells;dead_cells;average_rule;likeness;len_rule;len_born;len_survive
0;0;0;400;50;50;0.5;B2/S34;0.3212;0.6788;1.75;0.6052;-1;1;2
1;1;0;400;50;50;0.5;B3/S23;0.0472;0.9064;0.8333333333333334;0.9704;-1;1;2
2;2;0;400;50;50;0.5;B6/S16;0.0224;0.5208;0.5833333333333334;1.0;-1;1;2
3;3;0;400;50;50;0.5;B36/S23;0.0384;0.9532;0.5555555555555556;0.9772;0;2;2
4;4;0;400;50;50;0.5;B1357/S1357;0.4944;0.5056;1.0;0.4964;0;4;4
5;5;0;400;50;50;0.5;B34/S34;0.3956;0.604;1.0;0.554;0;2;2
6;6;0;400;50;50;0.5;B15/S28;0.2748;0.7252;1.6666666666666667;0.598;0;2;2
7;7;0;400;50;50;0.5;B1/S1;0.2212;0.7788;1.0;0.6152;0;1;1
8;8;0;400;50;50;0.5;B12/S12;0.33;0.67;1.0;0.5048;0;2;2
9;9;0;400;50;50;0.5;B45/S12;0.0924;0.7004;0.3333333333333333;0.9944;0;2;2
10;10;0;400;50;50;0.5;B872/S356;0.2804;0.7196;0.8235294117647058;0.596;0;3;3
11;11;0;400;50;50;0.5;B6731/S1234;0.5404;0.4596;0.5882352941176471;0.6028;0;4;4
12;12;0;400;50;50;0.5;B58912/S34;0.4556;0.5444;0.7;0.5532;3;5;2
13;13;0;400;50;50;0.5;B6213/S912;0.392;0.608;1.3333333333333333;0.3128;1;4;3
14;14;0;400;50;50;0.5;B91/S82;0.264;0.736;1.0;0.6352;0;2;2
15;15;0;400;50;50;0.5;B73/S65;0.0;0.7112;1.1;1.0;0;2;2
16;16;0;400;50;50;0.5;B51238/S38;0.4352;0.5648;1.4473684210526316;0.2304;3;5;2
17;17;0;400;50;50;0.5;B86/S124659;0.1272;0.4272;0.6428571428571429;1.0;-4;2;6
18;18;0;400;50;50;0.5;B87/S87542;0.0076;0.4992;0.6933333333333334;1.0;-3;2;5
19;19;0;400;50;50;0.5;B234/S1235;0.5184;0.4816;0.9166666666666666;0.4728;-1;3;4
20;20;0;400;50;50;0.5;B1357/S2468;0.496;0.504;1.25;0.4852;0;4;4
21;21;0;400;50;50;0.5;B123456789/S123456789;1.0;0.0;1.0;1.0;0;9;9
22;22;0;400;50;50;0.5;B12345/S76532;0.748;0.252;1.5333333333333332;0.8876;0;5;5
23;23;0;400;50;50;0.5;B1/S1233456789;0.5116;0.0036;4.8;1.0;-9;1;10
24;24;0;400;50;50;0.5;B123456789/S1;0.5108;0.4892;0.2;0.0032;8;9;1
25;25;0;400;50;50;0.5;B8735/S2;0.0012;0.854;0.34782608695652173;0.9984;3;4;1
26;26;0;400;50;50;0.5;B1235/23;0.4516;0.5484;0.9090909090909091;0.3124;2;4;2
27;27;0;400;50;50;0.5;B123847/S2;0.6016;0.398;0.48;0.02;5;6;1
28;28;0;400;50;50;0.5;B983/S314678;0.378;0.622;0.725;0.736;-3;3;6
29;29;1;400;50;50;0.5;B2/S34;0.3364;0.6636;1.75;0.6484;-1;1;2
30;30;1;400;50;50;0.5;B3/S23;0.06;0.9236;0.8333333333333334;0.9528;-1;1;2
31;31;1;400;50;50;0.5;B6/S16;0.02;0.51;0.5833333333333334;1.0;-1;1;2
32;32;1;400;50;50;0.5;B36/S23;0.0192;0.9636;0.5555555555555556;0.9984;0;2;2
33;33;1;400;50;50;0.5;B1357/S1357;0.4952;0.5048;1.0;0.4868;0;4;4
34;34;1;400;50;50;0.5;B34/S34;0.4112;0.588;1.0;0.568;0;2;2
35;35;1;400;50;50;0.5;B15/S28;0.3008;0.6992;1.6666666666666667;0.5868;0;2;2
36;36;1;400;50;50;0.5;B1/S1;0.2152;0.7848;1.0;0.6348;0;1;1
37;37;1;400;50;50;0.5;B12/S12;0.3256;0.6744;1.0;0.4744;0;2;2
38;38;1;400;50;50;0.5;B45/S12;0.0996;0.7088;0.3333333333333333;0.992;0;2;2
39;39;1;400;50;50;0.5;B872/S356;0.3024;0.6976;0.8235294117647058;0.5936;0;3;3
40;40;1;400;50;50;0.5;B6731/S1234;0.5344;0.4656;0.5882352941176471;0.622;0;4;4
41;41;1;400;50;50;0.5;B58912/S34;0.4432;0.5568;0.7;0.5552;3;5;2
42;42;1;400;50;50;0.5;B6213/S912;0.4604;0.5396;1.3333333333333333;0.3196;1;4;3
43;43;1;400;50;50;0.5;B91/S82;0.2496;0.7504;1.0;0.6084;0;2;2
44;44;1;400;50;50;0.5;B73/S65;0.0;0.7192;1.1;1.0;0;2;2
45;45;1;400;50;50;0.5;B51238/S38;0.4368;0.5632;1.4473684210526316;0.2244;3;5;2
46;46;1;400;50;50;0.5;B86/S124659;0.1204;0.4504;0.6428571428571429;1.0;-4;2;6
47;47;1;400;50;50;0.5;B87/S87542;0.0152;0.4964;0.6933333333333334;1.0;-3;2;5
48;48;1;400;50;50;0.5;B234/S1235;0.528;0.472;0.9166666666666666;0.4872;-1;3;4
49;49;1;400;50;50;0.5;B1357/S2468;0.508;0.492;1.25;0.492;0;4;4
50;50;1;400;50;50;0.5;B123456789/S123456789;1.0;0.0;1.0;1.0;0;9;9
51;51;1;400;50;50;0.5;B12345/S76532;0.768;0.232;1.5333333333333332;0.8924;0;5;5
52;52;1;400;50;50;0.5;B1/S1233456789;0.5284;0.002;4.8;0.9984;-9;1;10
53;53;1;400;50;50;0.5;B123456789/S1;0.4936;0.5064;0.2;0.0048;8;9;1
54;54;1;400;50;50;0.5;B8735/S2;0.0056;0.8756;0.34782608695652173;0.9932;3;4;1
55;55;1;400;50;50;0.5;B1235/23;0.4872;0.5128;0.9090909090909091;0.3392;2;4;2
56;56;1;400;50;50;0.5;B123847/S2;0.6532;0.3464;0.48;0.0188;5;6;1
57;57;1;400;50;50;0.5;B983/S314678;0.3924;0.6068;0.725;0.7616;-3;3;6
58;58;2;400;50;50;0.5;B2/S34;0.32;0.68;1.75;0.6292;-1;1;2
59;59;2;400;50;50;0.5;B3/S23;0.0468;0.9412;0.8333333333333334;0.9952;-1;1;2
60;60;2;400;50;50;0.5;B6/S16;0.0176;0.5144;0.5833333333333334;1.0;-1;1;2
61;61;2;400;50;50;0.5;B36/S23;0.0556;0.9276;0.5555555555555556;0.9676;0;2;2
62;62;2;400;50;50;0.5;B1357/S1357;0.4996;0.5004;1.0;0.4884;0;4;4
