;RunId;iteration;Step;largura;altura;density;rule;alive_cells;dead_cells;average_rule;likeness
0;0;0;500;50;50;0.5;B2/S34;0.3248;0.6752;1.75;0.6388
1;1;0;500;50;50;0.5;B3/S23;0.0412;0.9468;0.8333333333333334;0.9748
2;2;0;500;50;50;0.5;B6/S16;0.0232;0.5212;0.5833333333333334;1.0
3;3;0;500;50;50;0.5;B36/S23;0.0568;0.9376;0.5555555555555556;0.9616
4;4;0;500;50;50;0.5;B1357/S1357;0.5032;0.4968;1.0;0.488
5;5;0;500;50;50;0.5;B34/S34;0.4012;0.5988;1.0;0.5288
6;6;0;500;50;50;0.5;B15/S28;0.2676;0.7324;1.6666666666666667;0.5936
7;7;1;500;50;50;0.5;B2/S34;0.308;0.692;1.75;0.6572
8;8;1;500;50;50;0.5;B3/S23;0.0408;0.9556;0.8333333333333334;0.9744
9;9;1;500;50;50;0.5;B6/S16;0.0144;0.55;0.5833333333333334;1.0
10;10;1;500;50;50;0.5;B36/S23;0.0308;0.9484;0.5555555555555556;0.9968
11;11;1;500;50;50;0.5;B1357/S1357;0.4888;0.5112;1.0;0.5128
12;12;1;500;50;50;0.5;B34/S34;0.4008;0.5988;1.0;0.5564
13;13;1;500;50;50;0.5;B15/S28;0.278;0.722;1.6666666666666667;0.61
14;14;2;500;50;50;0.5;B2/S34;0.3168;0.6832;1.75;0.6392
15;15;2;500;50;50;0.5;B3/S23;0.0496;0.9356;0.8333333333333334;0.9788
16;16;2;500;50;50;0.5;B6/S16;0.0192;0.5324;0.5833333333333334;1.0
17;17;2;500;50;50;0.5;B36/S23;0.0192;0.976;0.5555555555555556;0.9936
18;18;2;500;50;50;0.5;B1357/S1357;0.5008;0.4992;1.0;0.4984
19;19;2;500;50;50;0.5;B34/S34;0.4156;0.5844;1.0;0.5684
20;20;2;500;50;50;0.5;B15/S28;0.2868;0.7132;1.6666666666666667;0.6088
21;21;3;500;50;50;0.5;B2/S34;0.3156;0.6844;1.75;0.6232
22;22;3;500;50;50;0.5;B3/S23;0.0852;0.882;0.8333333333333334;0.9404
23;23;3;500;50;50;0.5;B6/S16;0.024;0.534;0.5833333333333334;1.0
24;24;3;500;50;50;0.5;B36/S23;0.0292;0.9684;0.5555555555555556;0.9984
25;25;3;500;50;50;0.5;B1357/S1357;0.5032;0.4968;1.0;0.4992
26;26;3;500;50;50;0.5;B34/S34;0.3944;0.6052;1.0;0.56
27;27;3;500;50;50;0.5;B15/S28;0.2788;0.7212;1.6666666666666667;0.602
28;28;4;500;50;50;0.5;B2/S34;0.3192;0.6808;1.75;0.6332
29;29;4;500;50;50;0.5;B3/S23;0.0356;0.9352;0.8333333333333334;0.9968
30;30;4;500;50;50;0.5;B6/S16;0.0248;0.5292;0.5833333333333334;1.0
31;31;4;500;50;50;0.5;B36/S23;0.0172;0.974;0.5555555555555556;1.0
32;32;4;500;50;50;0.5;B1357/S1357;0.5004;0.4996;1.0;0.488
33;33;4;500;50;50;0.5;B34/S34;0.4036;0.5964;1.0;0.5512
34;34;4;500;50;50;0.5;B15/S28;0.2796;0.7204;1.6666666666666667;0.5972
35;35;5;500;50;50;0.5;B2/S34;0.3176;0.6824;1.75;0.6348
36;36;5;500;50;50;0.5;B3/S23;0.0376;0.9364;0.8333333333333334;0.99
37;37;5;500;50;50;0.5;B6/S16;0.0232;0.5496;0.5833333333333334;1.0
38;38;5;500;50;50;0.5;B36/S23;0.0528;0.9384;0.5555555555555556;0.9688
39;39;5;500;50;50;0.5;B1357/S1357;0.5084;0.4916;1.0;0.4996
40;40;5;500;50;50;0.5;B34/S34;0.3932;0.6068;1.0;0.5832
41;41;5;500;50;50;0.5;B15/S28;0.2828;0.7172;1.6666666666666667;0.592
42;42;6;500;50;50;0.5;B2/S34;0.3148;0.6852;1.75;0.6392
43;43;6;500;50;50;0.5;B3/S23;0.0412;0.9408;0.8333333333333334;0.992
44;44;6;500;50;50;0.5;B6/S16;0.0176;0.548;0.5833333333333334;1.0
45;45;6;500;50;50;0.5;B36/S23;0.0288;0.9472;0.5555555555555556;1.0
46;46;6;500;50;50;0.5;B1357/S1357;0.51;0.49;1.0;0.4856
47;47;6;500;50;50;0.5;B34/S34;0.3904;0.6096;1.0;0.5728
48;48;6;500;50;50;0.5;B15/S28;0.2808;0.7192;1.6666666666666667;0.5888
49;49;7;500;50;50;0.5;B2/S34;0.3196;0.6804;1.75;0.648
50;50;7;500;50;50;0.5;B3/S23;0.0808;0.9116;0.8333333333333334;0.9596
51;51;7;500;50;50;0.5;B6/S16;0.0176;0.5212;0.5833333333333334;1.0
52;52;7;500;50;50;0.5;B36/S23;0.0224;0.964;0.5555555555555556;0.9936
53;53;7;500;50;50;0.5;B1357/S1357;0.5068;0.4932;1.0;0.4956
54;54;7;500;50;50;0.5;B34/S34;0.3956;0.6044;1.0;0.5684
55;55;7;500;50;50;0.5;B15/S28;0.2808;0.7192;1.6666666666666667;0.5652
56;56;8;500;50;50;0.5;B2/S34;0.3296;0.6704;1.75;0.6416
57;57;8;500;50;50;0.5;B3/S23;0.0364;0.9496;0.8333333333333334;0.9872
58;58;8;500;50;50;0.5;B6/S16;0.0256;0.5168;0.5833333333333334;1.0
59;59;8;500;50;50;0.5;B36/S23;0.0548;0.9368;0.5555555555555556;0.9704
60;60;8;500;50;50;0.5;B1357/S1357;0.4824;0.5176;1.0;0.492
61;61;8;500;50;50;0.5;B34/S34;0.4144;0.5856;1.0;0.5772
62;62;8;500;50;50;0.5;B15/S28;0.2752;0.7248;1.6666666666666667;0.5868
63;63;9;500;50;50;0.5;B2/S34;0.3108;0.6892;1.75;0.626
64;64;9;500;50;50;0.5;B3/S23;0.0492;0.9408;0.8333333333333334;0.9872
65;65;9;500;50;50;0.5;B6/S16;0.0184;0.542;0.5833333333333334;1.0
66;66;9;500;50;50;0.5;B36/S23;0.0148;0.978;0.5555555555555556;0.9984
67;67;9;500;50;50;0.5;B1357/S1357;0.5004;0.4996;1.0;0.5008
68;68;9;500;50;50;0.5;B34/S34;0.3984;0.6016;1.0;0.5768
69;69;9;500;50;50;0.5;B15/S28;0.2852;0.7148;1.6666666666666667;0.5936
